puuid,championId,championLevel,championPoints,lastPlayTime,championPointsSinceLastLevel,championPointsUntilNextLevel,chestGranted,tokensEarned,summonerId
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,77,7,374540,2024-01-06 07:59:42,352940,0,True,0,xkKJiQ5gDpdinwTzT9w8fjR9wsUtWIhtFtkW8iYJ7lj1cV2f
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,92,7,367838,2023-12-19 17:34:16,346238,0,False,0,xkKJiQ5gDpdinwTzT9w8fjR9wsUtWIhtFtkW8iYJ7lj1cV2f
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,23,7,312736,2024-01-04 06:16:50,291136,0,True,0,xkKJiQ5gDpdinwTzT9w8fjR9wsUtWIhtFtkW8iYJ7lj1cV2f
